,name,category,original,sale,link
1823,Nike Sportswear Alumni,Men's Woven Flow Shorts,$200,$150.97,https://www.nike.com/t/sportswear-alumni-mens-woven-flow-shorts-Ck28PB/DB3810-808
1824,Nike Canyon,Men's Sandals,$200,$150.97,https://www.nike.com/t/canyon-mens-sandals-Rg7k94/CW9704-001
1825,Nike College (Texas),Men's Long-Sleeve T-Shirt,$200,$150.97,https://www.nike.com/t/texas-mens-long-sleeve-t-shirt-RPZK5r/DM2519-802
1826,Nike SB,Skate Cargo Shorts,$200,$150.97,https://www.nike.com/t/sb-skate-cargo-shorts-71PcPp/CV4739-320
1827,"Nike Standard Issue ""Dyckman""",Men's Basketball Fleece Shorts,$200,$150.97,https://www.nike.com/t/standard-issue-dyckman-mens-basketball-fleece-shorts-BwjwhC/CW6703-480
1828,Nike AeroSwift,Men's 1/2-Length Running Tights,$200,$150.97,https://www.nike.com/t/aeroswift-mens-1-2-length-running-tights-LTHLNr/DA1429-010
1829,Nike Sportswear JDI,Men's T-Shirt,$200,$150.97,https://www.nike.com/t/sportswear-jdi-mens-t-shirt-s23bM6/AR5006-451
1830,Nike Sportswear,Men's Long-Sleeve T-Shirt,$200,$150.97,https://www.nike.com/t/sportswear-mens-long-sleeve-t-shirt-q533zj/DD3374-326
1831,Nike Sportswear,Men's Tank,$200,$150.97,https://www.nike.com/t/sportswear-mens-tank-G2K7fV/DH4860-901
1832,Nike Dri-FIT Vapor,Men's Striped Golf Polo,$200,$150.97,https://www.nike.com/t/dri-fit-vapor-mens-striped-golf-polo-2TGXQD/CU9800-003
1833,Nike Free Run 2,Men's Shoes,$200,$150.97,https://www.nike.com/t/free-run-2-mens-shoes-tknxxK/537732-013
1834,Nike Sportswear,Men's Tank,$200,$150.97,https://www.nike.com/t/sportswear-mens-tank-43MPq2/AR4991-800
1835,Nike ZoomX SuperRep Surge,Men's Endurance Class Shoe,$200,$150.97,https://www.nike.com/t/zoomx-superrep-surge-mens-endurance-class-shoe-BnQHKQ/CU7627-410
